source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
CaseID,double,numeric,float64,Case ID,F11.0,,,TRUE,Retained
weight,double,numeric,float64,Weight,F4.3,,,TRUE,Retained
PRE_Q12a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Favor: Require more public broadcasting,F3.0,998|999,,TRUE,Retained
PRE_Q12b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Favor: Free TV air time to candidates,F3.0,998|999,,TRUE,Retained
PRE_Q12c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Favor: Public funds for access to Internet,F3.0,998|999,,TRUE,Retained
PRE_Q12d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Favor: Public funds for non-partisan civic education,F3.0,998|999,,TRUE,Retained
PRE_Q13a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Effective: Require more public broadcasting,F3.0,998|999,,TRUE,Retained
PRE_Q13b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Effective: Free TV air time to candidates,F3.0,998|999,,TRUE,Retained
PRE_Q13c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Effective: Public funds for access to Internet,F3.0,998|999,,TRUE,Retained
PRE_Q13d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Effective: Public funds for non-partisan civic education,F3.0,998|999,,TRUE,Retained
PRE_Q14x,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Importance: Informed about politics,F3.0,998|999,,TRUE,Retained
PRE_Q15a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: Focus more on policy issues,F3.0,998|999,,TRUE,Retained
PRE_Q15b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: Candidates focus too much on attacking others,F3.0,998|999,,TRUE,Retained
PRE_Q16a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Favor: Keeping public service voluntary,F3.0,998|999,,TRUE,Retained
PRE_Q16b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Favor: Expanding public service programs,F3.0,998|999,,TRUE,Retained
PRE_Q16c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Favor: Requiring public service,F3.0,998|999,,TRUE,Retained
PRE_Q16d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Favor: Requiring military service,F3.0,998|999,,TRUE,Retained
PRE_Q17a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: All-volunteer military ensures motivated personnel,F3.0,998|999,,TRUE,Retained
PRE_Q17b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: All-volunteer military shifts burden to poor,F3.0,998|999,,TRUE,Retained
PRE_Q17c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: Requiring public service would help Americans appreciate responsibilities,F3.0,998|999,,TRUE,Retained
PRE_Q17d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: Mandatory public service contrary to liberty,F3.0,998|999,,TRUE,Retained
PRE_Q17e,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: Public service obligations should be same for men and women,F3.0,998|999,,TRUE,Retained
PRE_Q18a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: People with differing views from mine have good reasons,F3.0,998|999,,TRUE,Retained
PRE_Q18b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: I am well qualified to participate in politics,F3.0,998|999,,TRUE,Retained
PRE_Q18c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: Public officials care,F3.0,998|999,,TRUE,Retained
PRE_Q18d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: Public policy issues are complicated,F3.0,998|999,,TRUE,Retained
PRE_Q18e,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: People like me do not have say in what government does,F3.0,998|999,,TRUE,Retained
PRE_Q18f,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Agree: Everyone should be involved in politics,F3.0,998|999,,TRUE,Retained
PRE_Q19,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Know: Number of Americans prevented from voting because of convictions,F3.0,998|999,,TRUE,Retained
PRE_Q20,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Know: Purpose of gerrymandering,F3.0,998|999,,TRUE,Retained
PRE_Q21,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Know: Percentage of eligible voting in given presidential general election,F3.0,998|999,,TRUE,Retained
PRE_Q22,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,"PRE - Know: Country with a system of ""compulsory voting""",F3.0,998|999,,TRUE,Retained
PRE_Q23,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Know: Who must register with selective service in the US,F3.0,998|999,,TRUE,Retained
PRE_Q24,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Know: Candidate for President is elected with a majority of votes,F3.0,998|999,,TRUE,Retained
PRE_Q25,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Know: Frequency of Congressional Districts being redrawn,F3.0,998|999,,TRUE,Retained
PRE_Q26,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Know: Two States with the earliest presidential primary events,F3.0,998|999,,TRUE,Retained
PRE_Q27a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Last week freq: Watch the news on TV,F1.0,8|9,,TRUE,Retained
PRE_Q27b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Last week freq: Read a daily newspaper,F1.0,8|9,,TRUE,Retained
PRE_Q27c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Last week freq: Read news sources on the internet,F1.0,8|9,,TRUE,Retained
PRE_Q28,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Frequency of conversations about public affairs,F1.0,8|9,,TRUE,Retained
PRE_Q29,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - Interest in politics,F1.0,8|9,,TRUE,Retained
PRE_Q30,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,PRE - R Military Service,F1.0,8|9,,TRUE,Retained
POST_Q1,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Vote in 2004 presidential general election,F3.0,998|999,,TRUE,Retained
POST_Q2x,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Likelihood of voting in 2008 presidential primary,F3.0,998|999,,TRUE,Retained
POST_Q3x,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Likelihood of voting in 2008 presidential general election,F3.0,998|999,,TRUE,Retained
POST_Q4a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Importance: Voting in elections,F3.0,998|999,,TRUE,Retained
POST_Q4b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Importance: Discussing politics with others,F3.0,998|999,,TRUE,Retained
POST_Q4c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Importance: Being informed about politics,F3.0,998|999,,TRUE,Retained
POST_Q4d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Importance: Serving country through military or public service,F3.0,998|999,,TRUE,Retained
POST_Q5a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Election day a national holiday,F3.0,998|999,,TRUE,Retained
POST_Q5b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Election day registration,F3.0,998|999,,TRUE,Retained
POST_Q5c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Allowing felons to vote,F3.0,998|999,,TRUE,Retained
POST_Q5d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Direct election of president,F3.0,998|999,,TRUE,Retained
POST_Q5e,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Fining people who do not vote,F3.0,998|999,,TRUE,Retained
POST_Q6a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Election day a national holiday,F3.0,998|999,,TRUE,Retained
POST_Q6b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Election day registration,F3.0,998|999,,TRUE,Retained
POST_Q6c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Allowing felons to vote,F3.0,998|999,,TRUE,Retained
POST_Q6d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Direct election of president,F3.0,998|999,,TRUE,Retained
POST_Q6e,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Fining people who do not vote,F3.0,998|999,,TRUE,Retained
POST_Q7x,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Importance: Increase political participation,F3.0,998|999,,TRUE,Retained
POST_Q8a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Felons have paid debt,F3.0,998|999,,TRUE,Retained
POST_Q8b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Felons incapable of being responsible citizens,F3.0,998|999,,TRUE,Retained
POST_Q8c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Too many national holidays,F3.0,998|999,,TRUE,Retained
POST_Q8d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Electoral college makes many voters irrelevant,F3.0,998|999,,TRUE,Retained
POST_Q9a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Proportional Representation,F3.0,998|999,,TRUE,Retained
POST_Q9b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Easier to get 3rd Party candidates on ballot,F3.0,998|999,,TRUE,Retained
POST_Q9c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Term limits for Congress,F3.0,998|999,,TRUE,Retained
POST_Q9d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Nonpartisan commissions for redistricting,F3.0,998|999,,TRUE,Retained
POST_Q9e,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: All presidential primaries on same day,F3.0,998|999,,TRUE,Retained
POST_Q10a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Proportional Representation,F3.0,998|999,,TRUE,Retained
POST_Q10b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Easier to get 3rd Party candidates on ballot,F3.0,998|999,,TRUE,Retained
POST_Q10c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Term limits for Congress,F3.0,998|999,,TRUE,Retained
POST_Q10d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Nonpartisan commissions for redistricting,F3.0,998|999,,TRUE,Retained
POST_Q10e,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: All presidential primaries on same day,F3.0,998|999,,TRUE,Retained
POST_Q11a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Voters should have equal say selecting presidential candidates,F3.0,998|999,,TRUE,Retained
POST_Q11b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Elections do not provide enough choice,F3.0,998|999,,TRUE,Retained
POST_Q11c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Proportional representation would reflect vote totals more closely,F3.0,998|999,,TRUE,Retained
POST_Q11d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Proportional representation creates unstable governments,F3.0,998|999,,TRUE,Retained
POST_Q11e,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Term limits produce candidates with fresher ideas,F3.0,998|999,,TRUE,Retained
POST_Q11f,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: People have right to vote for legislators doing good job,F3.0,998|999,,TRUE,Retained
POST_Q11g,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: State with 10 times people should get 10 times say,F3.0,998|999,,TRUE,Retained
POST_Q12a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Require more public broadcasting,F3.0,998|999,,TRUE,Retained
POST_Q12b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Free TV air time to candidates,F3.0,998|999,,TRUE,Retained
POST_Q12c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Public funds for access to Internet,F3.0,998|999,,TRUE,Retained
POST_Q12d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Public funds for non-partisan civic education,F3.0,998|999,,TRUE,Retained
POST_Q13a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Require more public broadcasting,F3.0,998|999,,TRUE,Retained
POST_Q13b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Free TV air time to candidates,F3.0,998|999,,TRUE,Retained
POST_Q13c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Public funds for access to Internet,F3.0,998|999,,TRUE,Retained
POST_Q13d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Effective: Public funds for non-partisan civic education,F3.0,998|999,,TRUE,Retained
POST_Q14x,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Importance: Informed about politics,F3.0,998|999,,TRUE,Retained
POST_Q15a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Focus more on policy issues,F3.0,998|999,,TRUE,Retained
POST_Q15b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Candidates focus too much on attacking others,F3.0,998|999,,TRUE,Retained
POST_Q16a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Keeping public service voluntary,F3.0,998|999,,TRUE,Retained
POST_Q16b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Expanding public service programs,F3.0,998|999,,TRUE,Retained
POST_Q16c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Requiring public service,F3.0,998|999,,TRUE,Retained
POST_Q16d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Favor: Requiring military service,F3.0,998|999,,TRUE,Retained
POST_Q17a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: All-volunteer military ensures motivated personnel,F3.0,998|999,,TRUE,Retained
POST_Q17b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: All-volunteer military shifts burden to poor,F3.0,998|999,,TRUE,Retained
POST_Q17c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Requiring public service would help Americans appreciate responsibilities,F3.0,998|999,,TRUE,Retained
POST_Q17d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Mandatory public service contrary to liberty,F3.0,998|999,,TRUE,Retained
POST_Q17e,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Public service obligations should be same for men and women,F3.0,998|999,,TRUE,Retained
POST_Q18a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: People with differing views from mine have good reasons,F3.0,998|999,,TRUE,Retained
POST_Q18b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: I am well qualified to participate in politics,F3.0,998|999,,TRUE,Retained
POST_Q18c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Public officials care,F3.0,998|999,,TRUE,Retained
POST_Q18d,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Public policy issues are complicated,F3.0,998|999,,TRUE,Retained
POST_Q18e,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: People like me do not have say in what government does,F3.0,998|999,,TRUE,Retained
POST_Q18f,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Everyone should be involved in politics,F3.0,998|999,,TRUE,Retained
POST_Q19,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Know: Number of Americans prevented from voting because of convictions,F3.0,998|999,,TRUE,Retained
POST_Q20,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Know: Purpose of gerrymandering,F3.0,998|999,,TRUE,Retained
POST_Q21,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Know: Percentage of eligible voting in given presidential general election,F3.0,998|999,,TRUE,Retained
POST_Q22,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,"POST - Know: Country with a system of ""compulsory voting""",F3.0,998|999,,TRUE,Retained
POST_Q23,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Know: Who must register with selective service in the US,F3.0,998|999,,TRUE,Retained
POST_Q24,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Know: Candidate for President is elected with a majority of votes,F3.0,998|999,,TRUE,Retained
POST_Q25,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Know: Frequency of Congressional Districts being redrawn,F3.0,998|999,,TRUE,Retained
POST_Q26,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Know: Two States with the earliest presidential primary events,F3.0,998|999,,TRUE,Retained
POST_Q27a,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Last week freq: Watch the news on TV,F1.0,8|9,,TRUE,Retained
POST_Q27b,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Last week freq: Read a daily newspaper,F1.0,8|9,,TRUE,Retained
POST_Q27c,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Last week freq: Read news sources on the internet,F1.0,8|9,,TRUE,Retained
POST_Q28,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Frequency of conversations about public affairs,F1.0,8|9,,TRUE,Retained
POST_Q29,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Interest in politics,F1.0,8|9,,TRUE,Retained
POST_Q30a_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Valuable: Online discussions,F3.0,998|999,,TRUE,Retained
POST_Q30b_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Valuable: Briefing materials,F3.0,998|999,,TRUE,Retained
POST_Q30c_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Valuable: Text chat forum on the website,F3.0,998|999,,TRUE,Retained
POST_Q30d_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Valuable: Event as a whole,F3.0,998|999,,TRUE,Retained
POST_Q31a_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Moderator provided the opportunity for everyone to participate,F3.0,998|999,,TRUE,Retained
POST_Q31b_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Members of my group participated equally in discussions,F3.0,998|999,,TRUE,Retained
POST_Q31c_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Moderator tried to influence the group with their own views,F3.0,998|999,,TRUE,Retained
POST_Q31d_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: moderator tried to make sure opposing arguments were considered,F3.0,998|999,,TRUE,Retained
POST_Q31e_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: Important aspects of the issues were covered,F3.0,998|999,,TRUE,Retained
POST_Q31f_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Agree: I learned a lot about people very different from me,F3.0,998|999,,TRUE,Retained
POST_Q32_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Amount of briefing materials read before discussions started each week,F3.0,998|999,,TRUE,Retained
POST_Q33_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Amount of briefing materials read before discussions by the end of last discussion,F3.0,998|999,,TRUE,Retained
POST_Q34_groups,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Evaluation of balanced positions in briefing materials,F3.0,998|999,,TRUE,Retained
POST_Q30x_readers,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Valuable: Readings in helping to clarify Rs positions on the issues,F3.0,998|999,,TRUE,Retained
POST_Q32_readers,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Amount of briefing materials read each week,F3.0,998|999,,TRUE,Retained
