repository,artifact,upstream_resource,target_path,schema_version,status,notes
soodoku/dp-distortions,participant-analysis,participants-wide,data/polardata.csv,1,planned,Switch after source-based build and explained value/sample differences; exact parity is not required
soodoku/dp-distortions,attitude-index-registry,attitude-indices,data/poll_indices.csv,1,planned,Retain published index definitions
soodoku/dp-learning,participant-analysis,participants-wide,data/raw/polardata.tab,1,planned,Pin a tagged upstream release and SHA-256
soodoku/dp-learning,knowledge-items,knowledge-responses-long,data/raw/cor-sood-replication.zip,1,planned,Replace archive extraction after item-level comparison and review of scoring differences
soodoku/dp-nireland,northern-ireland-survey,cdd-northern-ireland-survey,data/northern-ireland-2007/survey.parquet,1,current,868 rows; reader uses numeric source fields; 19 downstream numerical outputs preserved
soodoku/guessing-and-forgetting,knowledge-items,knowledge-responses-long,data,1,planned,Keep the Dataverse baseline tag in the downstream history
finite-sample/dp-steadier-not-closer,latent-model-input,latent-change-input,data,1,planned,Include item responses attitudes arms and group memberships
finite-sample/dp-steadier-not-closer,historical-linked-panel,historical-knowledge-attitude-panel,output/linkage/knowledge_attitude_panel.csv,1,current,Upstream build from historical polardata and deposited batteries; exact pre-migration output parity; canonical replacement deferred
soodoku/dp-nireland,northern-ireland-groups,cdd-northern-ireland-groups,data/northern-ireland-2007/groups.csv,1,current,Headerless roster; paper preserves its historical first-record handling pending NI-01 correction
soodoku/dp-nireland,northern-ireland-argument-codes,northern-ireland-argument-codes,data/northern-ireland-2007/argument-codes.parquet,1,current,Unadjudicated labels; paper-specific scoring remains downstream; no vault needed
