poll_id,item_id,source_column_t1,historical_item_id,cor_item_id,question,wording_source,response_type,answer_choices,correct_codes,correct_answer,source_reference,coding_note,historical_item_id_t2
uk-crime-1994,knowledge_001,kw11,kw1,knowledge-1,Can British courts sentence a murderer to death?,paraphrase of source label or questionnaire,true/false,True | False,0,False,data/uk-crime-1994/variables.csv,,
uk-crime-1994,knowledge_002,kw21,kw2,knowledge-2,Does Britain have the largest prison population in Western Europe?,paraphrase of source label or questionnaire,true/false,True | False,1,True,data/uk-crime-1994/variables.csv,,
uk-crime-1994,knowledge_003,kw31,kw3,knowledge-3,Does Britain have more prisoners serving life sentences than the rest of the European Community combined?,paraphrase of source label or questionnaire,true/false,True | False,1,True,data/uk-crime-1994/variables.csv,,
uk-crime-1994,knowledge_004,kw41,kw4,knowledge-4,Can a defendant be tried by jury in a local magistrates court?,paraphrase of source label or questionnaire,true/false,True | False,0,False,data/uk-crime-1994/variables.csv,,
uk-crime-1994,knowledge_005,pkw11,pkw1,knowledge-5,Is the number of members of Parliament about 100?,paraphrase of source label or questionnaire,true/false,True | False,0,False,data/uk-crime-1994/variables.csv,,
uk-crime-1994,knowledge_006,pkw21,pkw2,knowledge-6,Is the longest permitted interval between general elections four years?,paraphrase of source label or questionnaire,true/false,True | False,0,False,data/uk-crime-1994/variables.csv,,
uk-crime-1994,knowledge_007,pkw31,pkw3,knowledge-7,Is the British electoral system based on proportional representation?,paraphrase of source label or questionnaire,true/false,True | False,0,False,data/uk-crime-1994/variables.csv,,
uk-eu-1995,knowledge_001,eusize1,eusize,knowledge-1,Has the European Union recently expanded to 15 members?,paraphrase of source label or questionnaire,true/false,True | False,1,True,data/uk-eu-1995/variables.csv,,
uk-eu-1995,knowledge_002,swiss1,swiss,knowledge-2,Is Switzerland about to join the European Union?,paraphrase of source label or questionnaire,true/false,True | False,2,False,data/uk-eu-1995/variables.csv,,
uk-eu-1995,knowledge_003,inctax1,inctax,knowledge-3,Are British income tax rates decided in Brussels?,paraphrase of source label or questionnaire,true/false,True | False,2,False,data/uk-eu-1995/variables.csv,,
uk-eu-1995,knowledge_004,elect1,elect,knowledge-4,Are European Parliament elections held every five years?,paraphrase of source label or questionnaire,true/false,True | False,1,True,data/uk-eu-1995/variables.csv,,
uk-eu-1995,knowledge_005,ptyapp1,ptyapp,knowledge-5,Are the Liberal Democrats the least favorable to the European Union of the three main British parties?,paraphrase of source label or questionnaire,true/false,True | False,2,False,data/uk-eu-1995/variables.csv,,
uk-monarchy-1996,knowledge_001,Q5A,A,knowledge-1,Is Princess Anne next in line to the throne?,questionnaire or source codebook,true/false,True | False,2,2   false,data/uk-monarchy-1996/codebook.pdf,,
uk-monarchy-1996,knowledge_002,Q5B,B,knowledge-2,"Is the prime minister, rather than the Queen, Britain's head of state?",questionnaire or source codebook,true/false,True | False,2,2   false,data/uk-monarchy-1996/codebook.pdf,,
uk-monarchy-1996,knowledge_003,Q5C,C,knowledge-3,Is the Queen head of the Commonwealth?,questionnaire or source codebook,true/false,True | False,1,1   true,data/uk-monarchy-1996/codebook.pdf,,
uk-monarchy-1996,knowledge_004,Q5D,D,knowledge-4,Is it the Queen's duty to decide the date of a general election?,questionnaire or source codebook,true/false,True | False,2,2   false,data/uk-monarchy-1996/codebook.pdf,,
uk-monarchy-1996,knowledge_005,Q5E,E,knowledge-5,Does a prime minister take office only after being asked by the Queen?,questionnaire or source codebook,true/false,True | False,1,1   true,data/uk-monarchy-1996/codebook.pdf,,
uk-monarchy-1996,knowledge_006,Q5F,F,knowledge-6,Is the Queen head of the Church of England?,questionnaire or source codebook,true/false,True | False,1,1   true,data/uk-monarchy-1996/codebook.pdf,,
uk-monarchy-1996,knowledge_007,Q5G,G,knowledge-7,Is the Queen head of the Church of Scotland?,questionnaire or source codebook,true/false,True | False,2,2   false,data/uk-monarchy-1996/codebook.pdf,,
uk-monarchy-1996,knowledge_008,Q5H,H,knowledge-8,Does Britain have an unwritten constitution?,questionnaire or source codebook,true/false,True | False,1,1   true,data/uk-monarchy-1996/codebook.pdf,,
uk-monarchy-1996,knowledge_009,Q8A,succession,,"If a British monarch dies, who succeeds them?",questionnaire or source codebook,multiple choice,1: 1   brother or siste | 2: 2   eldest brother | 3: 3   eldest sister | 4: 4   eldest child | 5: 5   eldest son | 6: 6   eldest daughter | 7: 7   none of these | 8: 8   can't choose | 9: 9   not answered,5,5   eldest son,data/uk-monarchy-1996/codebook.pdf,,
nic-1996,knowledge_001,WEDLOCK1,WEDLOCK,,About what percentage of American children are born outside marriage?,paraphrase of source label or questionnaire,open numeric,,25-40 inclusive,25-40 inclusive,data/nic-1996/codebook.txt,Numeric response scored correct when within the inclusive interval shown in correct_codes; missing and out-of-range responses scored incorrect. See R/respondent_nic.R.,
nic-1996,knowledge_002,AFDC1,AFDC,,About what percentage of children live in single-parent households?,paraphrase of source label or questionnaire,open numeric,,1-10 inclusive,1-10 inclusive,data/nic-1996/codebook.txt,Numeric response scored correct when within the inclusive interval shown in correct_codes; missing and out-of-range responses scored incorrect. See R/respondent_nic.R.,
nic-1996,knowledge_003,UNEMP1,UNEMP,,What was the unemployment rate over the previous ten years?,paraphrase of source label or questionnaire,open numeric,,5-10 inclusive,5-10 inclusive,data/nic-1996/codebook.txt,Numeric response scored correct when within the inclusive interval shown in correct_codes; missing and out-of-range responses scored incorrect. See R/respondent_nic.R.,
nic-1996,knowledge_004,SPEND1,SPEND,knowledge-1,Which listed purpose does the United States spend the most on?,paraphrase of source label or questionnaire,multiple choice,1: The space program | 2: Foreign aid | 3: National defense | 4: Agriculture subsidies | 8: Do not know,3,National defense,data/nic-1996/codebook.txt,,
nic-1996,knowledge_005,TRADE1,TRADE,knowledge-2,Which listed country does the United States trade with most?,paraphrase of source label or questionnaire,multiple choice,1: Canada | 2: Japan | 3: Germany | 4: Mexico | 8: Do not know,1,Canada,data/nic-1996/codebook.txt,,
nic-1996,knowledge_006,TROOPSA1,TROOPSA,knowledge-3,Had the United States sent ground troops to Iraq in the previous ten years?,paraphrase of source label or questionnaire,yes/no,Yes | No,1,Yes,data/nic-1996/codebook.txt,,
nic-1996,knowledge_007,TROOPSB1,TROOPSB,knowledge-4,Had the United States sent ground troops to Somalia in the previous ten years?,paraphrase of source label or questionnaire,yes/no,Yes | No,1,Yes,data/nic-1996/codebook.txt,,
nic-1996,knowledge_008,TROOPSC1,TROOPSC,knowledge-5,Had the United States sent ground troops to Rwanda in the previous ten years?,paraphrase of source label or questionnaire,yes/no,Yes | No,0,No,data/nic-1996/codebook.txt,,
nic-1996,knowledge_009,TROOPSD1,TROOPSD,knowledge-6,Had the United States sent ground troops to Bosnia in the previous ten years?,paraphrase of source label or questionnaire,yes/no,Yes | No,1,Yes,data/nic-1996/codebook.txt,,
nic-1996,knowledge_010,POLREP1,republican,knowledge-7,Where were Republicans on the liberal to conservative scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,5|6|7,Slightly conservative | Conservative | Extremely conservative,data/nic-1996/codebook.txt,,
nic-1996,knowledge_011,POLDEM1,democratic,knowledge-8,Where were Democrats on the liberal to conservative scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,1|2|3,Extremely liberal | Liberal | Slightly liberal,data/nic-1996/codebook.txt,,
cpl-1996,knowledge_001,source1,source,knowledge-1,Which energy source produces the greatest amount of CPL electricity?,questionnaire or source codebook,multiple choice,1: Coal | 2: Wind | 3: Natural Gas | 4: Fuel Oil | 5: Nuclear | 6: Solar | 99: dk,3,Natural Gas,data/cpl-1996/codebook.txt,,
cpl-1996,knowledge_002,use1,use,knowledge-2,Which customer group uses the most CPL electricity?,questionnaire or source codebook,multiple choice,1: Residential | 2: Commerical | 3: Industrial | 99: dk,3,Industrial,data/cpl-1996/codebook.txt,,
cpl-1996,knowledge_003,rt1,rt,knowledge-3,Which CPL customer group pays the highest electric rates?,questionnaire or source codebook,multiple choice,1: Residential | 2: Commerical | 3: Industrial | 99: dk,2,Commerical,data/cpl-1996/codebook.txt,,
cpl-1996,knowledge_004,smog1,smog,knowledge-4,Which electricity source produces the most air emissions?,questionnaire or source codebook,multiple choice,1: Nuclear | 2: Coal | 3: Natural Gas | 99: dk,2,Coal,data/cpl-1996/codebook.txt,,
cpl-1996,knowledge_005,setrt1,setrt,knowledge-5,Which agency sets electric rates in Texas?,questionnaire or source codebook,open coded,,1,PUC,data/cpl-1996/codebook.txt,Open answer coded into source categories; code 1 (Public Utility Commission) scored correct. Other codes scored incorrect. See R/respondent_utilities.R.,
cpl-1996,knowledge_006,profit1,profit,knowledge-6,How much profit do Texas electric utilities make on fuel?,questionnaire or source codebook,multiple choice,0: 0% | 1: 10% | 2: 20% | 3: 30% | 99: dk,0,0%,data/cpl-1996/codebook.txt,,
cpl-1996,knowledge_007,pctful1,pctful,knowledge-7,How much of the electric bill pays for fuel?,questionnaire or source codebook,multiple choice,1: less than 20% | 2: 21-30% | 3: 31-40% | 4: 41-50% | 5: More Than 50% | 99: dk,2,21-30%,data/cpl-1996/codebook.txt,,
wtu-1996,knowledge_001,SOURCE1,source,knowledge-1,Which energy source produces the greatest amount of WTU electricity?,questionnaire or source codebook,multiple choice,1: Coal | 2: Wind | 3: Natural Gas | 4: Fuel Oil | 5: Nuclear | 6: Solar | 99: dk,3,Natural Gas,data/wtu-1996/codebook.txt,,
wtu-1996,knowledge_002,USE1,use,knowledge-2,Which customer group uses the most WTU electricity?,questionnaire or source codebook,multiple choice,1: Residential | 2: Commerical | 3: Industrial | 99: dk,1,Residential,data/wtu-1996/codebook.txt,,
