poll_id,source_id,archive_path,source_sha256,source_rows,source_columns,public_path,transformation,publication_status,review_note
uk-health-1998,cdd-uk-health-survey,data/british_health/britishhealth.sav,d6c46a1c9c83930a8779a5ae6a9b5cec3cf0ef0399d6f340e8b28371d1f8d234,230,387,data/uk-health-1998/survey.sav,exact-copy,approved-public,Three string fields are poll/group codes; recnumb and phone are categorical telephone-status fields
northern-ireland-2007,cdd-northern-ireland-survey,data/Ireland/orig_data/nireland.dta,305c8646632cfc36ca55177771a89aa2aa38149f5ab394ec14428bf9ffa7fffa,868,528,data/northern-ireland-2007/survey.parquet,exclude-verbatim,approved-redacted,Exclude the 80 named T2/T3 verbatim fields; retain remaining fields and original row order
uk-crime-1994,cdd-uk-crime-survey,data/british_crime/crime_data/uk-crime.sav,edbe1a694b6b1c0a90ec55c5c147465aa28ae727e6280f0423ac297f8883f242,869,287,data/uk-crime-1994/survey.sav,exact-copy,approved-public,All fields numeric; questionnaire responses and coded demographics; no names or contact fields
uk-eu-1995,cdd-uk-eu-survey,data/british_europe/uk-eu.sav,6ef6ef79903df1cce6c70db4e63025b15b66d500afa757815c7138d47a614166,900,175,data/uk-eu-1995/survey.sav,exact-copy,approved-public,All fields numeric; givenum is telephone recording status and intname contains numeric interviewer codes only
uk-monarchy-1996,cdd-uk-monarchy-1996-survey,data/british_monarchy/monarchy_final.sav,dfa627589fdc8572e95fd427e74b56ffb51156e120933f9468138d3e455ea059,857,417,data/uk-monarchy-1996/survey.sav,exact-copy,approved-public,All numeric fields; B25B contains telephone recording status not telephone numbers
uk-general-election-1997,cdd-uk-general-election-1997-survey,data/british_general_election/ukbge.sav,e383674cd99347daee1a71fa65274e6bc1ea895714176cb56d1bf13f7c2f61f0,1210,568,data/uk-general-election-1997/survey.sav,exact-copy,approved-public,All numeric fields; phone ownership and coded survey fields
cpl-1996,cdd-cpl-1996-survey,data/Utilities/cpl/cpl.sav,faf67817380bda6186279ed7151b42339cbecc076c0dfec436b7126c88351935,1246,195,data/cpl-1996/survey.sav,exact-copy,approved-public,Earlier raw-coded survey preserves code 99; numeric fields include ZIP code
swepco-1996,cdd-swepco-1996-survey,data/Utilities/swepco/swepco_data/swepco2.dta,d308f57bc58e3f2bc7b2446588c85c86060341a7ddd5b86634aa9743484a4c6e,1478,196,data/swepco-1996/survey.dta,exact-copy,approved-public,Numeric survey and ZIP code; system missing already collapsed in this archive version
wtu-1996,cdd-wtu-1996-survey,data/Utilities/wt/wt_data/wt2.dta,ecc9949d86ab2f51133eeb7f8b0749ab6913fedb9d82b2cbe247e021f40d4b88,1230,196,data/wtu-1996/survey.dta,exact-copy,approved-public,Numeric survey and ZIP code; system missing already collapsed in this archive version
australia-republic-1999,cdd-australia-republic-1999-survey,data/australia_republic/Australia.sav,dbbbe94953ac3c2faf8427f362fcf04f809490f429629e47d3025292edc64026,4659,484,data/australia-republic-1999/survey.sav,exact-copy,approved-public,Numeric poll-level responses and coded demographics; disclosure review completed
btp-2007,cdd-btp-2007-survey,data/BTP/2007/data/final.sav,8260d7b4ea6055df6237e5405642b9c5b8f0ed5e375bd76757d38a436ec8b634,1501,404,data/btp-2007/survey.parquet,exclude-verbatim,approved-redacted,Named text/contact fields excluded; reviewed categorical knowledge text and group codes retained where specified
