poll_id,source_column,reason
northern-ireland-2007,t2q18a1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q18a2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q18a3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q18a4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q18a5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q18b1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q18b2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q18b3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q18b4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q18b5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19a1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19a2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19a3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19a4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19a5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19b1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19b2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19b3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19b4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q19b5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20a1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20a2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20a3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20a4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20a5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20b1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20b2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20b3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20b4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q20b5,Verbatim response retained in local archive pending disclosure review
