poll_id,field,value,reference_id,source_locator,status,notes
nic-1996,event_dates,1996-01-18 through 1996-01-21,us-nic-1996-material-53315bd489de4e58-nic-1996,Sections: The National Issues Convention; Sampling and Recruitment,reported,
nic-1996,location,"Austin, Texas, United States",us-nic-1996-material-53315bd489de4e58-nic-1996,Sections: The National Issues Convention; Sampling and Recruitment,reported,
nic-1996,population,United States adult population sampled through households,us-nic-1996-material-53315bd489de4e58-nic-1996,Sections: The National Issues Convention; Sampling and Recruitment,reported,
nic-1996,recruitment,"NORC area/cluster household sample; Kish selection at doorstep; initial face-to-face interviews November 4, 1995–January 18, 1996",us-nic-1996-material-53315bd489de4e58-nic-1996,Sections: The National Issues Convention; Sampling and Recruitment,reported,
nic-1996,participants,"1,260 sampled households; 911 completed initial interviews; 466 attended Austin; 172 reinterviewed nonparticipants in a separate quasi-control sample",us-nic-1996-material-53315bd489de4e58-nic-1996,Sections: The National Issues Convention; Sampling and Recruitment,reported,
nic-1996,mode,Face-to-face moderated small groups and plenary expert sessions,us-nic-1996-material-53315bd489de4e58-nic-1996,Sections: The National Issues Convention; Sampling and Recruitment,reported,
nic-1996,topics,"Economic policy, family/welfare policy, and United States foreign policy",us-nic-1996-material-53315bd489de4e58-nic-1996,Sections: The National Issues Convention; Sampling and Recruitment,reported,
nic-1996,participants,459 participants reported by current official event overview,us-nic-1996-stanford-event,Opening paragraph,conflicting,Conflicts with 466 attendance in detailed research manuscript and historical analysis; no harmonization applied.
nic-1996,organizers,"University of Texas, PBS, MacNeil/Lehrer Productions, and NORC",us-nic-1996-material-99247b0bb1a1091f-nic-1996,Introduction and National Issues Convention television coverage/organizers sections,reported,Organizational roles should be retained separately from scientific authorship.
cpl-1996,location,"Corpus Christi, Texas",us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996,Design description and Table 1: Response and Participation Rates,reported,
cpl-1996,organizers,"Central Power and Light; deliberative research team Luskin, Fishkin, Plane; utility process in cooperation with Texas regulators",us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996,Design description and Table 1: Response and Participation Rates,reported,
cpl-1996,population,Central Power and Light residential customers in its service territory,us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996,Design description and Table 1: Response and Participation Rates,reported,
cpl-1996,recruitment,Random customer telephone interview followed by invitation; agreement and attendance honoraria; travel/lodging support,us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996,Design description and Table 1: Response and Participation Rates,reported,
cpl-1996,participants,1246 initial interviews; 216 post-deliberation interviews/participants,us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996,Design description and Table 1: Response and Participation Rates,reported,
cpl-1996,mode,Face-to-face weekend; randomized small discussion groups and plenary expert panels,us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996,Design description and Table 1: Response and Participation Rates,reported,
cpl-1996,topics,"Electricity supply choices, conservation/efficiency, renewable energy, prices and low-income customer assistance",us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996,Design description and Table 1: Response and Participation Rates,reported,
cpl-1996,event_dates,1996-06-01 through 1996-06-02,us-cpl-1996-material-ee96cf90494a2ada-cpl-1996,"NREL/TP-620-33177, footnote listing individual utility customer-survey reports",reported,
