collection_id,archive_prefix,poll_id,scope,review_status,notes
cdd-global-metadata,meta_data,,collection-wide,review-required,"Cross-poll codebooks, index definitions, briefing materials, papers, and poll details"
cdd-aggregate-data,data/agg,,collection-wide,vault-only,"Historical aggregate files; use public deposits until disclosure review is complete"
cdd-marousi,data/Greece,marousi-2006,poll,review-required,"Historical source directory for the Marousi poll"
cdd-northern-ireland,data/Ireland,northern-ireland-2007,poll,review-required,"Historical source directory; six files match the public downstream originals byte-for-byte"
cdd-australia-republic,data/australia_republic,australia-republic-1999,poll,review-required,"Historical source directory"
cdd-british-crime,data/british_crime,uk-crime-1994,poll,review-required,"Historical source directory"
cdd-british-europe,data/british_europe,uk-eu-1995,poll,review-required,"Historical source directory"
cdd-british-general-election,data/british_general_election,uk-general-election-1997,poll,review-required,"Historical source directory"
cdd-british-health,data/british_health,uk-health-1998,poll,review-required,"Historical source directory"
cdd-british-monarchy,data/british_monarchy,uk-monarchy-1996,poll,review-required,"Historical source directory"
cdd-bulgaria,data/Bulgaria,bulgaria-2007,poll,review-required,"Historical source directory"
cdd-california,data/California,california-whats-next-2011,poll,vault-only,"Historical source directory; identifier-like fields require review"
cdd-denmark,data/Denmark,denmark-euro-2000,poll,review-required,"Historical source directory"
cdd-europolis,data/eu_2009,europolis-2009,poll,review-required,"Historical source directory"
cdd-michigan,data/Michigan,michigan-2009,poll,vault-only,"Historical source directory; source files include telephone variables"
cdd-new-haven,data/new_haven,new-haven-2004,poll,vault-only,"Contains direct names, street addresses, ZIP codes, comments, and telephone numbers"
cdd-nic-1,data/nic_1,nic-1996,poll,review-required,"Historical source directory"
cdd-nic-2,data/nic_2,nic2-2003,poll,review-required,"Historical source directory"
cdd-san-mateo,data/san_mateo,san-mateo-2008,poll,review-required,"Historical source directory"
cdd-vermont,data/Vermont,vermont-energy-2007,poll,review-required,"Historical source directory"
cdd-zeguo-2005,data/China/2005,zeguo-2005,poll,review-required,"Historical source directory"
cdd-utilities-cpl,data/Utilities/cpl,cpl-1996,poll,review-required,"Historical source directory"
cdd-utilities-wt,data/Utilities/wt,wtu-1996,poll,review-required,"Historical source directory"
cdd-utilities-swepco,data/Utilities/swepco,swepco-1996,poll,review-required,"Historical source directory"
