repository,path,upstream_path,same_text_lines
guessing-and-forgetting,data/aus.csv,data/australia-republic-1999/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/btp07.csv,data/btp-2007/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/btp04GE.csv,data/btp-general-election-2004/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/btp05.csv,data/btp-health-education-2005/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/btp04.csv,data/btp-online-primaries-2004/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/bul.csv,data/bulgaria-crime-2002/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/ca.csv,data/california-whats-next-2011/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/cpl.csv,data/cpl-1996/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/dk.csv,data/denmark-euro-2000/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/eu2009.csv,data/europolis-2009/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/mi.csv,data/michigan-2009/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/nic1.csv,data/nic-1996/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/ire.csv,data/northern-ireland-2007/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/sm.csv,data/san-mateo-2008/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/swp.csv,data/swepco-1996/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/eu2007.csv,data/tomorrows-europe-2007/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/ukcrime.csv,data/uk-crime-1994/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/ukeu.csv,data/uk-eu-1995/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/ukbge.csv,data/uk-general-election-1997/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/ukhealth.csv,data/uk-health-1998/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/ukmon.csv,data/uk-monarchy-1996/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/vt.csv,data/vermont-energy-2007/knowledge-battery.csv,TRUE
guessing-and-forgetting,data/wtu.csv,data/wtu-1996/knowledge-battery.csv,TRUE
dp-nireland,data/groups.csv,data/northern-ireland-2007/groups.csv,TRUE
